iter	Logloss
0	0.3812929553
1	0.3216204841
2	0.3016339237
3	0.2880472893
4	0.2812951426
5	0.2774879183
6	0.271645838
7	0.2673978597
8	0.2623023134
9	0.2608663697
10	0.2584651454
11	0.2565468166
12	0.2552383028
13	0.2541313141
14	0.2533689562
15	0.2523251602
16	0.2511269824
17	0.2500301173
18	0.2487786827
19	0.2483763974
20	0.247690322
21	0.2467652682
22	0.2461160911
23	0.2454064873
24	0.2449390513
25	0.2440156854
26	0.2434383812
27	0.2425450192
28	0.2417641185
29	0.2410984843
30	0.2405968609
31	0.2398631177
32	0.2393613399
33	0.2384184041
34	0.238050951
35	0.2377237715
36	0.2371998408
37	0.2366413555
38	0.2363472474
39	0.2360485254
40	0.2358345122
41	0.2353093619
42	0.2348756504
43	0.2345467923
44	0.2343028364
45	0.2340181547
46	0.233665248
47	0.2331561108
48	0.2329714294
49	0.2324807829
50	0.2322573517
51	0.2319047695
52	0.2317690559
53	0.231575805
54	0.2314524702
55	0.2312388805
56	0.2310677927
57	0.2309062597
58	0.230721141
59	0.2303430449
60	0.2301768028
61	0.2299569157
62	0.2298040731
63	0.2295865681
64	0.229343517
65	0.2290412553
66	0.228846473
67	0.2286853428
68	0.2284739671
69	0.2282417457
70	0.2281426334
71	0.2278901464
72	0.2276648979
73	0.2274826137
74	0.2272603346
75	0.2268610962
76	0.2266654295
77	0.2265143506
78	0.2263541438
79	0.22618912
80	0.2260748143
81	0.2259572542
82	0.2258553622
83	0.2256726751
84	0.2255645293
85	0.225459494
86	0.2250025739
87	0.2247815757
88	0.2246294767
89	0.2245112097
90	0.2243121694
91	0.224125446
92	0.2238304187
93	0.2236045612
94	0.2234261902
95	0.223311499
96	0.2231957259
97	0.2231069809
98	0.2229473816
99	0.2227664406
