iter	Passed	Remaining
0	66	6544
1	119	5851
2	174	5635
3	239	5754
4	329	6256
5	428	6715
6	512	6804
7	588	6763
8	674	6820
9	739	6658
10	806	6523
11	887	6505
12	966	6470
13	1038	6381
14	1111	6300
15	1180	6197
16	1294	6321
17	1444	6579
18	1580	6736
19	1701	6804
20	1800	6773
21	1905	6755
22	1986	6648
23	2062	6530
24	2132	6398
25	2215	6305
26	2474	6690
27	2588	6657
28	2686	6578
29	2770	6463
30	2851	6347
31	2922	6211
32	3003	6097
33	3079	5978
34	3149	5849
35	3222	5729
36	3301	5621
37	3380	5515
38	3454	5403
39	3534	5301
40	3601	5182
41	3674	5074
42	3770	4998
43	3861	4914
44	3973	4856
45	4096	4809
46	4175	4708
47	4256	4611
48	4345	4522
49	4430	4430
50	4508	4331
51	4584	4231
52	4673	4144
53	4774	4066
54	4848	3967
55	4928	3872
56	4999	3771
57	5085	3682
58	5175	3596
59	5262	3508
60	5349	3420
61	5461	3347
62	5548	3258
63	5641	3173
64	5722	3081
65	5801	2988
66	5883	2897
67	5967	2808
68	6045	2716
69	6118	2622
70	6190	2528
71	6262	2435
72	6335	2343
73	6409	2251
74	6482	2160
75	6575	2076
76	6660	1989
77	6739	1900
78	6815	1811
79	6895	1723
80	6966	1634
81	7039	1545
82	7108	1455
83	7178	1367
84	7263	1281
85	7346	1195
86	7431	1110
87	7506	1023
88	7580	936
89	7642	849
90	7711	762
91	7789	677
92	7874	592
93	7951	507
94	8036	422
95	8120	338
96	8209	253
97	8314	169
98	8398	84
99	8485	0
